Constituency ID,Constituency_Name,Winning_Margin,All India N.R. Congress,Dravida Munnetra Kazhagam,Indian National Congress,Bharatiya Janata Party,Independent,All India Anna Dravida Munnetra Kazhagam,Naam Tamilar Katchi,Makkal Needhi Maiam,None of the Above,Communist Party of India,Viduthalai Chiruthaigal Katchi,Amma Makkal Munnettra Kazagam,Desiya Murpokku Dravida Kazhagam,Bahujan Samaj Party,Indiya Jananayaka Katchi,SOCIAL DEMOCRATIC PARTY OF INDIA,Communist Party of India  (Marxist),Puducherry Development  Party,Communist Party of India  (Marxist-Leninist)  (Liberation),My India Party,Janata Dal  (United),Puratchi Bharatham
,,61391,216249,154858,131393,114298,106098,34623,28189,15835,10803,7522,5633,4637,2524,1169,996,711,321,199,158,145,141,60
1,MANNADIPET,2750,,12189,,14939,182,,485,238,433,,,57,64,100,,,,,,,,
2,THIRUBHUVANAI,2359,8238,7644,,,10597,,588,482,284,,,229,119,80,117,,,,,,,
3,OUSSUDU,1880,,,12241,14121,320,,740,293,409,,,496,77,,14,,,,,,,
4,MANGALAM,2751,16972,14221,,,206,,838,279,367,,,195,85,104,17,,,,,,,
5,VILLIANUR,6950,12703,19653,,,92,,1182,609,478,,,162,43,,17,,,81,,,20,
6,OZHUKARAI,819,11121,,,,11940,,1157,1185,444,,5633,147,79,87,20,,,52,158,,22,
7,KADIRGAMAM,12246,17775,,5529,,,,2266,,880,,,184,221,,150,,,,,,,
8,INDIRA NAGAR,18531,21841,,3310,,109,,1774,1218,569,,,83,156,,152,,,,,,,
9,THATTANCHAVADY,5456,12978,,,,128,,1183,1029,438,7522,,61,103,,42,,,,,,,
10,KAMARAJ NAGAR,7229,,,9458,16687,121,,1982,,658,,,446,119,,,,,,,,,
11,LAWSPET,5701,,,14592,8891,69,,1168,825,423,,,71,73,,33,,,,,,,
12,KALAPET,3508,,3769,,13277,9769,,1321,685,453,,,39,157,,,,,,,,,
13,MUTHIALPET,934,,,4402,,8778,7844,778,732,264,,,51,86,85,,,321,,,,,
14,RAJ BHAVAN,3732,10096,6364,,,144,,975,1462,303,,,39,,,,,,,,,,
15,OUPALAM,4780,,13433,,,38,8653,564,629,219,,,43,24,56,10,,,,,,,
16,ORLEAMPETH,2093,,7487,,,9580,1787,507,364,181,,,26,50,,6,,,,,,,60
17,NELLITHOPE,496,,11261,,11757,178,,1521,1659,537,,,,101,,18,139,,46,,145,16,
18,MUDALIARPET,4179,,15151,,,78,10972,1304,1321,452,,,105,,,26,,,,,,,
19,ARIANKUPPAM,6418,17858,,11440,,823,,1094,1055,382,,,,55,,52,68,,,,,,
20,MANAVELY,8132,,,9093,17225,613,,1555,426,405,,,62,84,260,35,,,,,,,
21,EMBALAM,2240,15624,,13384,,81,,590,618,193,,,,120,90,23,,,,,,,
22,NETTAPAKKAM,6638,15978,,9340,,599,,649,241,282,,,253,,133,93,,,,,,83,
23,BAHOUR,211,11578,11789,,,470,,449,126,294,,,1408,83,,14,,,20,,,,
24,NEDUNGADU,2214,10774,,8560,,5606,,788,,254,,,153,246,84,,,,,,,,
25,THIRUNALLAR,1380,,,7731,8416,9796,,347,,173,,,58,127,,,,,,,,,
26,KARAIKAL NORTH,135,12704,,12569,,766,,1214,359,282,,,,72,,55,185,,,,,,
27,KARAIKAL SOUTH,12034,,17401,,,435,5367,699,,221,,,132,39,,67,,,,,,,
28,NERAVY-T.R.PATTINAM,5511,,14496,,8985,1495,,471,,186,,,45,55,,35,,,,,,,
29,MAHE,300,3532,,9744,,9444,,,,221,,,,86,,,319,,,,,,
30,YANAM,655,16477,,,,17132,,,,118,,,92,,90,,,,,,,,
